,Ticker
1313,TEN
1314,SFM
1315,BECN
1317,AR
1318,MBFI
1319,WNR
1320,RPAI
1321,PAH
1322,BDN
1323,AMCX
1324,PGRE
1325,AHL
1326,MSG
1327,APLE
1328,SLAB
1329,PBI
1330,BDC
1331,DLB
1332,HEIA
1333,NUS
1334,DDR
1335,GHC
1336,VAC
1337,TRCO
1338,SJI
1339,IDCC
1340,CNDT
1341,LEXEA
1342,BXMT
1343,FSLR
1344,NBR
1345,SLCA
1346,OAS
1348,WAFD
1349,BGS
1350,CATY
1351,DAN
1352,FIVE
1353,CAB
1354,CNX
1355,SBH
1356,SATS
1357,ESL
1359,BWLD
1360,EDR
1361,USG
1362,WBT
1363,AVA
1364,ACIW
1366,AN
1368,DAR
1369,MTX
1370,FNSR
1371,QEP
1372,TCF
1373,VRNT
1374,EGP
1375,CAA
1376,CXP
1377,FUL
1378,LGFB
1379,INT
1382,OII
1383,TDS
1384,WCC
1385,SKT
1386,MSA
1387,BXS
1388,CAKE
1389,DDD
1390,ODP
1391,RICE
1392,HELE
1393,FFIN
1394,TTEK
1395,KLXI
1396,VIAV
1397,GPOR
1398,CLI
1399,RLJ
1402,WLL
1403,GBCI
1404,GME
1405,WWW
1406,UFS
1407,NGVT
1408,SBGI
1409,LILAK
1410,HI
1411,AKR
1412,CVLT
1413,PBF
1414,WLK
1415,CCP
1416,WRE
1417,AAN
1418,KATE
1419,SLGN
1420,BID
1421,GATX
1422,GCP
1423,EFII
1424,SMTC
1425,LANC
1426,ESV
1427,MUSA
1428,AWI
1429,VSH
1430,MDRX
1431,GNRC
1432,FII
1433,CVG
1434,JWA
1435,FEYE
1436,TRMK
1437,EE
1438,AXE
1439,CMP
1440,AIT
1442,H
1443,BLMN
1444,FNGN
1446,LBRDA
1447,MOGA
1448,DRH
1450,BIG
1451,CHH
1452,TPX
1453,ITRI
1454,PEB
1455,RLI
1456,UE
1457,RGC
1458,CREE
1459,ERIE
1460,CMC
1463,ABCO
1464,ACXM
1465,CBI
1466,DRQ
1467,EAT
1468,KBR
1469,LXP
1470,LAD
1471,NYT
1472,DGI
1473,UNFI
1474,HGV
1475,SHOO
1476,P
1477,SM
1478,IBOC
1479,CTB
1480,MCY
1481,DV
1482,ZG
1483,JNS
1484,PAY
1487,SYNA
1488,DBD
1489,DECK
1490,MRC
1491,AEO
1492,CAR
1493,MDP
1494,XHR
1495,PCH
1496,HNI
1497,PLT
1499,CFFN
1500,MLHR
1501,HEI
1502,ALGT
1503,ALEX
1504,IVR
1505,BOKF
1506,CVA
1507,DNOW
1508,PRAA
1510,URBN
1512,RDC
1513,ATI
1514,SPN
1515,WOR
1516,KMPR
1517,SEMG
1519,GNW
1520,CRS
1521,KS
1522,LC
1523,YELP
1524,MLI
1525,QCP
1526,AVP
1527,DF
1528,NWS
1530,NSR
1531,KRG
1532,FTR
1533,SFLY
1535,CHS
1536,ATU
1537,LGFA
1539,JCP
1540,OIS
1541,CRZO
1542,FCPT
1543,GRPN
1545,HMHC
1546,CYS
1547,WDR
1548,FCN
1549,WPG
1550,VSTO
1552,DSW
1553,GPI
1554,CBL
1555,FWONK
1557,DDS
1558,AFSI
1559,JOE
1560,HUBG
1561,ABG
1563,LILA
1564,TIME
1566,HSNI
1567,TGI
1568,NE
1569,LTRPA
1570,DYN
1571,GCO
1572,GIII
1573,ASIX
1574,DO
1575,RRD
1576,GCI
1577,ANF
1578,PKY
1579,LKSD
1580,FWONA
1581,HTZ
1582,DFIN
1583,GNC
1584,FOSL
1585,CBSA
1586,ASNA
1588,LENB
1590,VIA
1591,LBTYB
